Year,FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Metropolitan and Micropolitan Statistical Area,Principal City Indicator,Geographic Identifier,Area (Land),Area (Water),Total Population,Area Total,Area (Land),Area (Water),Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Population 16 Years and over,Population 16 Years and over: In labor force,Population 16 Years and over: In labor force: In Armed Forces,Population 16 Years and over: In labor force: Civilian,Population 16 Years and over: In labor force: Civilian: Employed,Population 16 Years and over: In labor force: Civilian: Unemployed,Population 16 Years and over: Not in labor force,Civilian Population In Labor Force 16 Years And Over,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Median household income (In 2013 Inflation adjusted dollars),Households: Gini Index,Housing units,Median year structure built,Owner-occupied housing units: Median value,Renter-occupied housing units,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: Less than 10 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 10 to 29 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 30 to 49 percent,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: 50 percent or More,Renter-occupied housing units: Gross Rent As A Percentage Of Household Income In 2011: Not computed,Renter-Occupied Paying Cash Rent: Median Gross Rent as a Percentage of Household Income In 2013,Families,Families: Income in 2013 below poverty level,Families: Income in 2013 below poverty level: Married Couple Family: With Related Child Living Bellow Poverty Level,Families: Income in 2013 below poverty level: Married Couple Family: No related children under 18 Years,"Families: Income in 2013 below poverty level: Male Householder, no wife present","Families: Income in 2013 below poverty level: Male Householder, no wife present: With related children under 18 Years","Families: Income in 2013 below poverty level: Male Householder, no wife present: No related children under 18 Years","Families: Income in 2013 below poverty level: Female Householder, no husband present","Families: Income in 2013 below poverty level: Female Householder, no husband present: With related children under 18 Years","Families: Income in 2013 below poverty level: Female Householder, no husband present: No related children under 18 Years",Families: Income in 2013 at or above poverty level,Population Age 18 to 64 for whom poverty status is determined,Population Age 18 to 64 for whom poverty status is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status is determined: At or Above Poverty Level
2013,3.64E+11,"Rochester city; Rochester, NY Metro Area; New York","Rochester city; Rochester, Rochester, New York",ny,321,0,ACSSF,26412,36,63000,3663000,40380,Y,32100US364038063000,92671789,3558427,210624,37.1547,35.78078,1.373916,210624,94950,86670,1296,6992,75,12020,8621,164988,101195,89,101106,87294,13812,63793,101106,87294,13812,30875,0.483,99084,1939,75800,52416,1420,17569,12052,19071,2304,37.70000076,43230,12912,1403,630,1019,751,268,9860,9034,826,30318,132959,38375,94584
2013,1.61E+11,"Boise City city; Boise City, ID Metro Area; Idaho","Boise City city; Boise City, Boise City, Idaho",id,321,0,ACSSF,2514,16,8830,1608830,14260,Y,32100US161426008830,205550644,1777837,209726,80.04997,79.36355,0.6864268,209726,188544,2922,1525,7578,589,2435,6133,168925,116870,275,116595,106461,10134,52055,116595,106461,10134,48524,0.458,92005,1980,177900,33693,963,14626,7836,8366,1902,30.5,51347,5233,1377,766,786,589,197,2304,1972,332,46114,137226,21818,115408
2013,5.34E+11,"Spokane city; Spokane-Spokane Valley, WA Metro Area; Washington","Spokane city; Spokane-Spokane Valley, Spokane-Spokane Valley, Washington",wa,321,0,ACSSF,9201,53,67000,5367000,44060,Y,32100US534406067000,153448439,2001420,209478,60.01953,59.24677,0.7727526,209478,181673,5461,3441,6392,882,2175,9454,167670,104854,470,104384,93051,11333,62816,104384,93051,11333,42092,0.4556,94793,1958,160500,37518,920,14904,9652,10470,1572,33.29999924,49395,6610,1303,658,650,477,173,3999,3519,480,42785,130867,25401,105466
2013,5.14E+11,"Richmond city; Richmond, VA Metro Area; Virginia","Richmond city; Richmond, Richmond, Virginia",va,321,0,ACSSF,10714,51,67000,5167000,40060,Y,32100US514006067000,154894705,6880315,207878,62.46169,59.80518,2.656505,207878,90207,102179,681,4681,65,2939,7126,172784,111411,449,110962,98453,12509,61373,110962,98453,12509,40496,0.5394,98579,1955,196400,48286,1675,18033,12257,13847,2474,33.70000076,40329,8101,600,513,797,461,336,6191,5522,669,32228,137436,32598,104838
2013,1.92E+11,"Des Moines city; Des Moines-West Des Moines, IA Metro Area; Iowa","Des Moines city; Des Moines-West Des Moines, Des Moines-West Des Moines, Iowa",ia,321,0,ACSSF,10388,19,21000,1921000,19780,Y,32100US191978021000,209450511,4470710,205415,82.59545,80.8693,1.726151,205415,160207,21102,798,9636,130,6514,7028,158946,112650,103,112547,102911,9636,46296,112547,102911,9636,45836,0.4351,88667,1957,118200,30680,1233,12738,6952,8248,1509,31.20000076,48924,6852,1726,450,752,607,145,3924,3663,261,42072,128070,21462,106608
2013,13386051000,"Montgomery city; Montgomery, AL Metro Area; Alabama","Montgomery city; Montgomery, Montgomery, Alabama",al,321,0,ACSSF,7800,1,51000,151000,33860,Y,32100US013386051000,413272069,6108022,204760,161.9236,159.5652,2.35832,204760,76978,117740,628,4406,80,2071,2857,159148,98551,1816,96735,87795,8940,60597,96735,87795,8940,43702,0.4772,92037,1976,119200,32913,1041,11978,7575,9922,2397,33.79999924,50231,9346,1151,478,999,693,306,6718,5876,842,40885,123733,25724,98009
2013,63370048354,"Modesto city; Modesto, CA Metro Area; California","Modesto city; Modesto, Modesto, California",ca,321,0,ACSSF,37871,6,48354,648354,33700,Y,32100US063370048354,95485577,582995,202629,37.09229,36.86719,0.2250956,202629,146550,8140,1835,14981,1855,18749,10519,154974,95630,42,95588,79849,15739,59344,95588,79849,15739,47060,0.4548,74246,1977,167100,31326,496,11288,7905,10245,1392,36.59999847,48629,8289,2148,694,1053,861,192,4394,3832,562,40340,123969,23129,100840
2013,3.72E+11,"Fayetteville city; Fayetteville, NC Metro Area; North Carolina","Fayetteville city; Fayetteville, Fayetteville, North Carolina",nc,321,0,ACSSF,13657,37,22920,3722920,22180,Y,32100US372218022920,377736090,4827761,201755,147.7087,145.8447,1.864009,201755,93844,82987,1523,5577,815,5190,11819,155478,103429,22506,80923,69091,11832,52049,80923,69091,11832,44900,0.432,88207,1982,125800,38440,1273,17538,9941,7452,2236,29.20000076,49873,7614,1083,725,666,517,149,5140,4649,491,42259,120806,18762,102044
2013,5.34E+11,"Tacoma city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","Tacoma city; Seattle-Tacoma-Bellevue, Seattle-Tacoma-Bellevue, Washington",wa,321,0,ACSSF,9199,53,70000,5370000,42660,Y,32100US534266070000,128776569,32684808,200890,62.34059,49.72091,12.61968,200890,133422,21505,2720,16854,2720,7667,16002,160613,103101,2115,100986,88941,12045,57512,100986,88941,12045,50503,0.4404,86195,1964,216700,38195,899,16010,9377,10045,1864,32,45977,6097,1295,585,707,528,179,3510,3077,433,39880,127780,21104,106676
2013,2.24E+11,"Shreveport city; Shreveport-Bossier City, LA Metro Area; Louisiana","Shreveport city; Shreveport-Bossier City, Shreveport-Bossier City, Louisiana",la,321,0,ACSSF,7925,22,70000,2270000,43340,Y,32100US224334070000,272920015,40029586,200715,120.8305,105.375,15.45551,200715,82473,109816,632,2824,133,2086,2751,156754,97154,1087,96067,87594,8473,59600,96067,87594,8473,38633,0.5019,88697,1969,123000,34282,1046,13530,8272,8588,2846,31.79999924,46881,7969,616,464,643,396,247,6246,5409,837,38912,121803,22820,98983
2013,63710054652,"Oxnard city; Oxnard-Thousand Oaks-Ventura, CA Metro Area; California","Oxnard city; Oxnard-Thousand Oaks-Ventura, Oxnard-Thousand Oaks-Ventura, California",ca,321,0,ACSSF,37874,6,54652,654652,37100,Y,32100US063710054652,69655512,31892689,199574,39.20798,26.89414,12.31384,199574,144479,6202,2342,14751,215,23969,7616,148876,100985,1019,99966,89593,10373,47891,99966,89593,10373,60784,0.4162,54490,1973,323700,23024,291,7888,7279,6729,837,36.70000076,40716,5543,2319,345,398,355,43,2481,2246,235,35173,124380,17631,106749
2013,3.91E+11,"Akron city; Akron, OH Metro Area; Ohio","Akron city; Akron, Akron, Ohio",oh,321,0,ACSSF,19429,39,1000,3901000,10420,Y,32100US391042001000,160663630,880527,199038,62.37255,62.03258,0.3399734,199038,124234,61192,565,5009,51,905,7082,158551,100476,117,100359,84842,15517,58075,100359,84842,15517,33909,0.4713,97235,1953,83900,38257,976,13971,8888,11766,2656,34.59999847,45939,9801,1237,713,1305,987,318,6546,5937,609,36138,124612,32134,92478
2013,1.31E+11,"Augusta-Richmond County consolidated government (balance); Augusta-Richmond County, GA-SC Metro Area (part); Georgia","Augusta-Richmond County consolidated government (balance); Augusta-Richmond County, Augusta-Richmond County, Georgia",ga,321,0,ACSSF,11254,13,4204,1304204,12260,Y,32100US131226004204,783404428,10867251,196395,306.67,302.4742,4.195869,196395,76975,107835,703,3208,429,1760,5485,153663,92582,5358,87224,75782,11442,61081,87224,75782,11442,37560,0.4769,84649,1976,101200,32578,807,11918,7600,8851,3402,33.40000153,43206,9005,1042,560,810,515,295,6593,5956,637,34201,119511,26129,93382
2013,13366050000,"Mobile city; Mobile, AL Metro Area; Alabama","Mobile city; Mobile, Mobile, Alabama",al,321,0,ACSSF,7799,1,50000,150000,33660,Y,32100US013366050000,360290063,105344035,195116,179.7823,139.1088,40.67356,195116,88580,99775,399,2755,37,1049,2521,154082,92013,221,91792,79563,12229,62069,91792,79563,12229,38644,0.5115,89998,1971,124300,32674,1058,11428,7799,9375,3014,34.20000076,46240,9090,987,780,803,485,318,6520,5684,836,37150,115236,24381,90855
2013,53078041000,"Little Rock city; Little Rock-North Little Rock-Conway, AR Metro Area; Arkansas","Little Rock city; Little Rock-North Little Rock-Conway, Little Rock-North Little Rock-Conway, Arkansas",ar,321,0,ACSSF,7451,5,41000,541000,30780,Y,32100US053078041000,308725940,4641188,195092,120.9917,119.1998,1.791973,195092,100693,82240,683,5720,79,2724,2953,153390,102530,157,102373,92459,9914,50860,102373,92459,9914,44896,0.5169,92596,1977,150500,34386,904,14411,7944,8335,2792,30.89999962,45856,6389,793,776,768,503,265,4052,3461,591,39467,123551,20747,102804
2013,1.32E+11,"Columbus city; Columbus, GA-AL Metro Area (part); Georgia","Columbus city; Columbus, Columbus, Georgia",ga,321,0,ACSSF,11259,13,19000,1319000,17980,Y,32100US131798019000,560435436,11968740,194949,221.0065,216.3853,4.621157,194949,90595,87989,524,4504,191,4311,6835,151398,94679,10619,84060,74010,10050,56719,84060,74010,10050,41339,0.4851,82921,1975,133300,34259,742,14607,8910,7694,2306,30.89999962,46771,7497,909,601,431,351,80,5556,4830,726,39274,112621,19445,93176
2013,63108030000,"Glendale city; Los Angeles-Long Beach-Anaheim, CA Metro Area; California","Glendale city; Los Angeles-Long Beach-Anaheim, Los Angeles-Long Beach-Anaheim, California",ca,321,0,ACSSF,37857,6,30000,630000,31080,Y,32100US063108030000,,,193381,,,,193381,145194,2917,522,30709,187,8250,5602,161346,100946,41,100905,89700,11205,60400,100905,89700,11205,53020,0.4877,74607,1962,587800,44304,796,14402,10856,16751,1499,39.29999924,48878,5494,2491,1007,455,285,170,1541,871,670,43384,126365,16059,110306
2012,3.64E+11,"New York city; New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area (part); New York","New York city; New York-Northern New Jersey-Long Island, New York-Northern New Jersey-Long Island, New York",ny,321,0,ACSSF,33279,36,51000,3651000,35620,Y,32100US363562051000,783842402,429527437,8199221,468.4847,302.6433,165.8415,8199221,3646181,2059279,30743,1053649,3866,1169421,236082,6632421,4208379,3879,4204500,3777434,427066,2424042,4204500,3777434,427066,52619,0.5384,3371464,1948,508788,2072784,100526,828803,473574,570746,99135,31.60000038,1843819,311156,70765,39300,27362,18255,9107,173729,139796,33933,1532663,5345599,918661,4426938
2012,63110044000,"Los Angeles city; Los Angeles-Long Beach-Santa Ana, CA Metro Area; California","Los Angeles city; Los Angeles-Long Beach-Santa Ana, Los Angeles-Long Beach-Santa Ana, California",ca,321,0,ACSSF,50725,6,44000,644000,31100,Y,32100US063110044000,1213850147,88119442,3804503,502.6933,468.6702,34.02311,3804503,1997526,361876,19560,433919,6904,861991,122727,3031479,2019742,1530,2018212,1788623,229589,1011737,2018212,1788623,229589,50468,0.5268,1419626,1960,476830,817009,19066,291430,211058,257899,37556,35.79999924,798336,137549,41246,14613,17962,14162,3800,63728,54172,9556,660787,2481294,468132,2013162
2012,1.72E+11,"Chicago city; Chicago-Joliet-Naperville, IL-IN-WI Metro Area (part); Illinois","Chicago city; Chicago-Joliet-Naperville, Chicago-Joliet-Naperville, Illinois",il,321,0,ACSSF,31324,17,14000,1714000,16980,Y,32100US171698014000,589571105,16781658,2702471,234.1141,227.6347,6.479434,2702471,1270432,889250,7352,150070,734,331968,52665,2149198,1425903,658,1425245,1242056,183189,723295,1425245,1242056,183189,48097,0.5186,1197248,1945,251401,555474,17007,224319,126137,154651,33360,32.09999847,568856,103891,21050,9287,10978,7878,3100,62576,52561,10015,464965,1764784,340230,1424554
2012,4.83E+11,"Houston city; Houston-Sugar Land-Baytown, TX Metro Area; Texas","Houston city; Houston-Sugar Land-Baytown, Houston-Sugar Land-Baytown, Texas",tx,321,0,ACSSF,39676,48,35000,4835000,26420,Y,32100US482642035000,1552929379,72277296,2107449,627.4958,599.5894,27.90642,2107449,1207589,497340,8592,129460,904,231399,32165,1621169,1105968,890,1105078,1006147,98931,515201,1105078,1006147,98931,45297,0.5221,902153,1975,126512,418230,14537,184444,100034,97839,21376,29.89999962,474966,89115,27169,8312,8700,6807,1893,44934,39331,5603,385851,1353672,250733,1102939
2012,4.24E+11,"Philadelphia city; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Pennsylvania","Philadelphia city; Philadelphia-Camden-Wilmington, Philadelphia-Camden-Wilmington, Pennsylvania",pa,321,0,ACSSF,28318,42,60000,4260000,37980,Y,32100US423798060000,347321129,22289408,1525811,142.7074,134.1014,8.605989,1525811,631799,662657,4473,96995,1594,90949,37344,1221139,720993,812,720181,616079,104102,500146,720181,616079,104102,37554,0.502,669244,1946,144368,266433,7306,97727,56724,81710,22966,34.20000076,312290,65555,8429,6595,6946,4985,1961,43585,35633,7952,246735,962570,234630,727940
2012,43806055000,"Phoenix city; Phoenix-Mesa-Glendale, AZ Metro Area; Arizona","Phoenix city; Phoenix-Mesa-Glendale, Phoenix-Mesa-Glendale, Arizona",az,321,0,ACSSF,10675,4,55000,455000,38060,Y,32100US043806055000,1338256106,3221362,1462368,517.9474,516.7036,1.243775,1462368,1146481,94948,27662,45558,3353,107018,37348,1095145,731486,956,730530,659805,70725,363659,730530,659805,70725,48562,0.4708,599325,1981,176630,222754,5950,90740,54521,55514,16029,31.79999924,328336,56160,17847,4545,7254,5944,1310,26514,23671,2843,272176,918734,174854,743880
2012,4.84E+11,"San Antonio city; San Antonio-New Braunfels, TX Metro Area; Texas","San Antonio city; San Antonio-New Braunfels, San Antonio-New Braunfels, Texas",tx,321,0,ACSSF,39712,48,65000,4865000,41700,Y,32100US484170065000,1193811736,14968532,1335287,466.7127,460.9333,5.779383,1335287,1001354,90488,9906,29941,1485,165968,36145,1020339,662299,10879,651420,598480,52940,358040,651420,598480,52940,45590,0.4656,524522,1979,114744,203009,6291,86688,47770,46950,15310,30.20000076,309267,49028,12708,4639,4708,3508,1200,26973,23352,3621,260239,821774,143056,678718
2012,64174066000,"San Diego city; San Diego-Carlsbad-San Marcos, CA Metro Area; California","San Diego city; San Diego-Carlsbad-San Marcos, San Diego-Carlsbad-San Marcos, California",ca,321,0,ACSSF,50768,6,66000,666000,41740,Y,32100US064174066000,842233444,122273028,1308619,372.398,325.1882,47.20988,1308619,853632,89019,7610,211362,7265,80390,59341,1062094,714776,33011,681765,619252,62513,347318,681765,619252,62513,64920,0.4669,514515,1975,458365,244664,5185,99225,63171,65071,12012,32.5,278219,29420,8924,3252,2830,1930,900,14414,12276,2138,248799,854864,126704,728160
2012,4.82E+11,"Dallas city; Dallas-Fort Worth-Arlington, TX Metro Area; Texas","Dallas city; Dallas-Fort Worth-Arlington, Dallas-Fort Worth-Arlington, Texas",tx,321,0,ACSSF,39657,48,19000,4819000,19100,Y,32100US481910019000,881939036,117394747,1207202,385.8449,340.5186,45.32637,1207202,673957,296816,3976,34791,464,172769,24429,919970,623256,458,622798,566495,56303,296714,622798,566495,56303,43053,0.532,520384,1974,131179,254091,8458,114028,60596,56145,14864,29.5,263919,53123,15965,4032,5353,3997,1356,27773,24497,3276,210796,770370,151145,619225
2012,64194068000,"San Jose city; San Jose-Sunnyvale-Santa Clara, CA Metro Area; California","San Jose city; San Jose-Sunnyvale-Santa Clara, San Jose-Sunnyvale-Santa Clara, California",ca,321,0,ACSSF,50786,6,68000,668000,41940,Y,32100US064194068000,457201438,8907829,954379,179.9658,176.5265,3.439332,954379,448526,29674,6101,310783,3641,113932,41722,743555,505571,169,505402,453395,52007,237984,505402,453395,52007,82531,0.4385,317592,1974,583457,125621,3206,54659,30451,32766,4539,31.20000076,223350,18797,6170,2820,2011,1486,525,7796,6529,1267,204553,615395,66434,548961
2012,1.23E+11,"Jacksonville city; Jacksonville, FL Metro Area; Florida","Jacksonville city; Jacksonville, Jacksonville, Florida",fl,321,0,ACSSF,27252,12,35000,1235000,27260,Y,32100US122726035000,1934729255,330550113,823652,874.6293,747.0032,127.6261,823652,498143,251382,2567,35434,670,11638,23818,648874,437750,10148,427602,379963,47639,211124,427602,379963,47639,48843,0.4579,366462,1982,159484,116956,2609,45630,30697,30038,7982,33.09999847,197243,24613,3869,2822,2421,1795,626,15501,13324,2177,172630,525132,76320,448812
2012,1.83E+11,"Indianapolis city (balance); Indianapolis-Carmel, IN Metro Area; Indiana","Indianapolis city (balance); Indianapolis-Carmel, Indianapolis-Carmel, Indiana",in,321,0,ACSSF,15359,18,36003,1836003,26900,Y,32100US182690036003,936107645,17072644,822006,368.025,361.4332,6.591785,822006,518482,225945,2024,17657,57,35228,22613,638863,437592,600,436992,387379,49613,201271,436992,387379,49613,42756,0.4688,380830,1969,121642,142842,3590,58297,35264,36983,8708,32.09999847,190511,29473,5442,2107,3358,2858,500,18566,16604,1962,161038,521272,92443,428829
2012,64186067000,"San Francisco city; San Francisco-Oakland-Fremont, CA Metro Area; California","San Francisco city; San Francisco-Oakland-Fremont, San Francisco-Oakland-Fremont, California",ca,321,0,ACSSF,50776,6,67000,667000,41860,Y,32100US064186067000,121399963,479190317,807755,231.8892,46.87279,185.0164,807755,409445,48419,3690,270503,3485,38968,33245,711384,489599,226,489373,450004,39369,221785,489373,450004,39369,74874,0.5135,375861,1941,761812,214979,10501,99778,46831,47517,10352,28.39999962,153345,12346,2663,3137,1140,573,567,5406,3859,1547,140999,579913,75675,504238
2012,4.81E+11,"Austin city; Austin-Round Rock-San Marcos, TX Metro Area; Texas","Austin city; Austin-Round Rock-San Marcos, Austin-Round Rock-San Marcos, Texas",tx,321,0,ACSSF,39637,48,5000,4805000,12420,Y,32100US481242005000,771546901,18560605,799939,305.0622,297.8959,7.16629,799939,568082,65561,4801,49716,676,90195,20908,640687,471511,794,470717,436192,34525,169176,470717,436192,34525,53193,0.4876,354901,1984,219849,179090,5426,78384,42511,45728,7041,30.70000076,171997,23681,6267,1721,3075,2355,720,12618,11209,1409,148316,554374,99505,454869
2012,3.92E+11,"Columbus city; Columbus, OH Metro Area; Ohio","Columbus city; Columbus, Columbus, Ohio",oh,321,0,ACSSF,26783,39,18000,3918000,18140,Y,32100US391814018000,562466164,15373425,790168,223.1051,217.1694,5.935713,790168,494579,218501,2113,33497,306,14705,26467,624235,438498,659,437839,396588,41251,185737,437839,396588,41251,44631,0.4496,374446,1974,136860,168717,4421,75324,37959,41087,9926,29.89999962,173090,29039,5157,2192,3072,2102,970,18618,16237,2381,144051,523775,105003,418772
2012,4.82E+11,"Fort Worth city; Dallas-Fort Worth-Arlington, TX Metro Area; Texas","Fort Worth city; Dallas-Fort Worth-Arlington, Dallas-Fort Worth-Arlington, Texas",tx,321,0,ACSSF,39659,48,27000,4827000,19100,Y,32100US481910027000,880127783,20832365,743865,347.8627,339.8193,8.043421,743865,484721,139743,4822,27377,707,69456,17039,545822,372515,1192,371323,337112,34211,173307,371323,337112,34211,51848,0.4565,291697,1983,122860,107088,3385,46084,26151,25767,5701,30.60000038,175562,26087,8408,1929,1977,1441,536,13773,12470,1303,149475,454272,72239,382033
2012,3.72E+11,"Charlotte city; Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); North Carolina","Charlotte city; Charlotte-Gastonia-Rock Hill, Charlotte-Gastonia-Rock Hill, North Carolina",nc,321,0,ACSSF,20813,37,12000,3712000,16740,Y,32100US371674012000,770983559,5148533,740931,299.6663,297.6784,1.98786,740931,393073,256534,3096,37772,487,31705,18264,573840,416344,653,415691,372183,43508,157496,415691,372183,43508,53685,0.4988,322318,1987,175717,123839,4022,56476,28039,29676,5626,29.39999962,178590,22142,4467,1955,2376,1952,424,13344,11633,1711,156448,483177,70387,412790
2012,2.62E+11,"Detroit city; Detroit-Warren-Livonia, MI Metro Area; Michigan","Detroit city; Detroit-Warren-Livonia, Detroit-Warren-Livonia, Michigan",mi,321,0,ACSSF,22110,26,22000,2622000,19820,Y,32100US261982022000,359361795,10667148,721459,142.869,138.7504,4.118609,721459,83464,592761,2430,8731,52,20397,13624,553866,298057,83,297974,216137,81837,255809,297974,216137,81837,27347,0.4923,363010,1947,60568,122766,2971,31448,25495,48304,14548,44.40000153,151620,50072,6665,2900,6198,3964,2234,34309,28657,5652,101548,439146,154199,284947
2012,4.73E+11,"Memphis city; Memphis, TN-MS-AR Metro Area (part); Tennessee","Memphis city; Memphis, Memphis, Tennessee",tn,321,0,ACSSF,14455,47,48000,4748000,32820,Y,32100US473282048000,815988030,23176952,651050,324.0034,315.0547,8.948671,651050,199433,409872,1678,10405,192,18409,11061,502372,323009,216,322793,279188,43605,179363,322793,279188,43605,37352,0.5026,294777,1969,99728,117055,2348,41794,28400,36667,7846,35.29999924,146228,31308,3732,2117,3144,2145,999,22315,18799,3516,114920,403259,90522,312737
2012,4.82E+11,"El Paso city; El Paso, TX Metro Area; Texas","El Paso city; El Paso, El Paso, Texas",tx,321,0,ACSSF,39668,48,24000,4824000,21340,Y,32100US482134024000,661056631,2642037,650778,256.2555,255.2354,1.020096,650778,527675,21732,3579,7995,815,73616,15366,484057,294848,10578,284270,261893,22377,189209,284270,261893,22377,41401,0.4695,230031,1978,118294,85563,3140,35749,22276,18354,6044,30.5,159005,30536,8962,3398,2369,1475,894,15807,13866,1941,128469,384525,71110,313415
2012,2.41E+11,"Baltimore city; Baltimore-Towson, MD Metro Area; Maryland","Baltimore city; Baltimore-Towson, Baltimore-Towson, Maryland",md,321,0,ACSSF,10757,24,4000,2404000,12580,Y,32100US241258004000,209643241,28768302,620644,92.05122,80.94371,11.1075,620644,186860,395383,2099,14610,268,7822,13602,501858,314932,521,314411,271452,42959,186926,314411,271452,42959,41396,0.5014,296437,1945,163644,123130,3152,47035,30135,35330,7478,33.59999847,126119,23696,1528,1891,2604,1822,782,17673,14834,2839,102423,395375,83404,311971
2012,2.51E+11,"Boston city; Boston-Cambridge-Quincy, MA-NH Metro Area (part); Massachusetts","Boston city; Boston-Cambridge-Quincy, Boston-Cambridge-Quincy, Massachusetts",ma,321,0,ACSSF,9732,25,7000,2507000,14460,Y,32100US251446007000,125037462,107130299,619662,89.64048,48.27724,41.36324,619662,333544,157395,2096,56131,308,43887,26301,527697,362846,386,362460,325271,37189,164851,362460,325271,37189,53908,0.532,272587,1939,380145,163553,5886,67840,37250,43102,9475,31,116373,18250,1917,1967,1430,901,529,12936,10688,2248,98123,416904,82486,334418
2012,5.34E+11,"Seattle city; Seattle-Tacoma-Bellevue, WA Metro Area; Washington","Seattle city; Seattle-Tacoma-Bellevue, Seattle-Tacoma-Bellevue, Washington",wa,321,0,ACSSF,12238,53,63000,5363000,42660,Y,32100US534266063000,217410345,152055857,612916,142.6517,83.94261,58.7091,612916,432714,47887,4930,85935,2236,9244,29970,527558,383688,1182,382506,356914,25592,143870,382506,356914,25592,64392,0.4869,306694,1959,447408,150320,4736,71193,35786,32365,6240,28.89999962,123994,8103,1794,1578,1100,606,494,3631,2832,799,115891,436027,58361,377666
2012,4.73E+11,"Nashville-Davidson metropolitan government (balance); Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area; Tennessee","Nashville-Davidson metropolitan government (balance); Nashville-Davidson--Murfreesboro--Franklin, Nashville-Davidson--Murfreesboro--Franklin, Tennessee",tn,321,0,ACSSF,14459,47,52006,4752006,34980,Y,32100US473498052006,1230569857,56261385,605859,496.8483,475.1257,21.72264,605859,375845,172543,1373,19258,187,23921,12732,486581,336428,365,336063,306759,29304,150153,336063,306759,29304,46650,0.4772,274594,1977,167398,111432,3296,47760,26509,27523,6344,30.79999924,136622,19787,4471,1561,2046,1500,546,11709,10522,1187,116835,392313,65508,326805
2012,1.15E+11,"Washington city; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area (part); District of Columbia","Washington city; Washington-Arlington-Alexandria, Washington-Arlington-Alexandria, District of Columbia",dc,321,0,ACSSF,825,11,50000,1150000,47900,Y,32100US114790050000,158114680,18884970,605759,68.33995,61.04842,7.291528,605759,239413,309263,2143,21440,312,20652,12536,513352,348010,3180,344830,308602,36228,165342,344830,308602,36228,65201,0.5315,296671,1950,449437,150339,6593,66110,33296,36381,7959,29.60000038,109643,15553,1026,961,1551,1122,429,12015,9638,2377,94090,402661,66857,335804
2012,81974020000,"Denver city; Denver-Aurora-Broomfield, CO Metro Area; Colorado","Denver city; Denver-Aurora-Broomfield, Denver-Aurora-Broomfield, Colorado",co,321,0,ACSSF,9449,8,20000,820000,19740,Y,32100US081974020000,396268588,4225359,604356,154.6316,153.0002,1.63142,604356,444522,61274,7162,20729,732,50672,19265,486180,346569,439,346130,316306,29824,139611,346130,316306,29824,49804,0.506,285495,1965,249879,129835,4409,57240,30265,31842,6079,30.10000038,125598,17896,5216,1972,2115,1593,522,8593,7679,914,107702,402778,67393,335385
2012,2.13E+11,"Louisville/Jefferson County metro government (balance); Louisville/Jefferson County, KY-IN Metro Area (part); Kentucky","Louisville/Jefferson County metro government (balance); Louisville/Jefferson County, Louisville/Jefferson County, Kentucky",ky,321,0,ACSSF,9700,21,48006,2148006,31140,Y,32100US213114048006,842389102,43938966,597231,342.2132,325.2483,16.96493,597231,427284,135338,1046,12938,211,5437,14977,471781,310908,863,310045,275855,34190,160873,310045,275855,34190,44752,0.4751,272287,1966,141426,92656,4481,39152,19233,23499,6291,29.79999924,149618,21232,2836,2085,2134,1689,445,14177,12447,1730,128386,373673,61038,312635
2012,5.53E+11,"Milwaukee city; Milwaukee-Waukesha-West Allis, WI Metro Area; Wisconsin","Milwaukee city; Milwaukee-Waukesha-West Allis, Milwaukee-Waukesha-West Allis, Wisconsin",wi,321,0,ACSSF,16863,55,53000,5553000,33340,Y,32100US553334053000,248955419,1755108,594328,96.79988,96.12223,0.677651,594328,284694,234379,3621,21237,333,30044,20020,450826,297671,186,297485,258173,39312,153155,297485,258173,39312,36344,0.4541,258284,1949,136353,127331,2794,48255,29814,40752,5716,35.09999847,130052,31009,4318,1373,3608,2933,675,21710,19660,2050,99043,368152,91965,276187
